city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z
Bathurst,-0.2232069492310026,0.4656999968280302,Australia,AU,New South Wales,,0.0493149442894228,0.0561962894054445,0.09505925152381613,0.2496799373070956,-0.6859427852444974
Queanbeyan,-0.5446600669277011,0.4294048730930568,Australia,AU,New South Wales,,0.0475353181115915,-0.0676837006082511,0.04096138347818868,-0.10900214999057498,-0.9746581368325478
Frankston,-1.0110023620727555,-0.0036014459244017,Australia,AU,Victoria,,0.0465492559247578,0.0608316209985637,0.1482022112007346,-1.0053464302670778,-1.0106738812402272
Sunbury,-0.915080206380816,-0.0480830425623433,Australia,AU,Victoria,,0.0464981849748421,0.0607756699208381,0.14318873894029416,-0.9547208087491271,-0.8699867753879629
Warrnambool,-1.0484633807543184,-0.2837055774960708,Australia,AU,Victoria,,0.0430803598651,0.0331315335952998,0.1348547939794913,-1.324947493327129,-0.7699904807132306
Wodonga,-0.6723733756241456,0.1815818527361942,Australia,AU,Victoria,,0.0427503629579524,-0.0129764583797104,0.07842670480780668,-0.4842171309011051,-0.8557251542210782
Albany,-0.4897072632248307,-2.8824512253872765,Australia,AU,Western Australia,,0.0391164684447208,0.0318920020272234,0.13799265894534538,-3.3826730388369532,2.378153563475112
Gladstone,1.3681963170943885,0.6436580729523251,Australia,AU,Queensland,,0.0360247117075173,0.0493013950580193,-0.020447152282268212,2.009869149480519,0.7360970348881479
Mildura,-0.3510532753040334,-0.3180359477343323,Australia,AU,Victoria,,0.0333533081734659,0.046374723300061,0.09089660151377352,-0.6663364847879737,-0.03487736471788782
Southport,0.6835226254523941,0.8694462772116504,Australia,AU,Queensland,,0.0300926244480797,0.0428024621837296,0.005543946995236524,1.555880796282365,-0.17705883437001962
Dandenong,-0.981572267502686,0.0048491067496327,Australia,AU,Victoria,,0.0222276981610638,0.034185996213976,0.10289296350805271,-0.9692067756642904,-0.9904455972800276
Kalgoorlie,0.2209214440238747,-2.503824212827221,Australia,AU,Western Australia,,0.0220037716883565,0.0339406722577942,0.07172603018960423,-2.296257265992227,2.7151927949477237
Mount Gambier,-0.9563654746392812,-0.4633326377734887,Australia,AU,South Australia,,0.0211787794204877,0.0152745319426985,0.09671575403594053,-1.4153311212931363,-0.4993941196856007
Lismore,0.5421916628277653,0.8571190334984036,Australia,AU,New South Wales,,0.0175684561149095,-0.0791235440386233,-0.0707763883755581,1.3999245363568695,-0.3088112281440236
Maryborough,1.0874298894615086,0.7957046419398673,Australia,AU,Queensland,,0.0119192233473126,-0.0282209750954284,-0.07894104913431522,1.88098904052752,0.30091804508714115
Quakers Hill,-0.2754827782300415,0.603137672880336,Australia,AU,New South Wales,,0.011125659356315,0.0220230927022258,0.032147348425911465,0.333529604767039,-0.8766579977613448
Gawler,-0.4190916634287379,-0.6785893407627988,Australia,AU,South Australia,,0.0087371103141044,-0.091729752243123,-0.007494318379104475,-1.1004294490708075,0.25313346772016126
