city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z
Pakenham,-0.9965699767129693,0.03366549136808468,Australia,AU,Victoria,admin,0.08710744722703173,0.10526538457085974,-0.9965699767129693,0.03366549136808468,0.08710744722703173
Tamworth,0.16532018061013812,0.6071305590188172,Australia,AU,New South Wales,admin,0.07316507790004899,-0.09375259889935887,0.16532018061013812,0.6071305590188172,0.07316507790004899
Caloundra,0.8777446224427805,0.8408094668375186,Australia,AU,Queensland,admin,0.06696192175259738,0.08319483637260967,0.8777446224427805,0.8408094668375186,0.06696192175259738
Orange,-0.20047760500654685,0.41522907098236694,Australia,AU,New South Wales,admin,0.06381909406547813,0.06943947911020577,-0.20047760500654685,0.41522907098236694,0.06381909406547813
Dubbo,-0.02981631084429028,0.36252931186892856,Australia,AU,New South Wales,admin,0.055565242852181215,0.07070913818167297,-0.02981631084429028,0.36252931186892856,0.055565242852181215
Geraldton,0.5492249566148499,-3.228131645709445,Australia,AU,Western Australia,admin,0.05264241310316031,0.06750701496414216,0.5492249566148499,-3.228131645709445,0.05264241310316031
Nowra,-0.46651235818231845,0.5736769336204887,Australia,AU,New South Wales,admin,0.05174670721233133,-0.05496128631924425,-0.46651235818231845,0.5736769336204887,0.05174670721233133
Bathurst,-0.2232069492310026,0.4656999968280302,Australia,AU,New South Wales,admin,0.04931494428942281,0.05619628940544458,-0.2232069492310026,0.4656999968280302,0.04931494428942281
Queanbeyan,-0.5446600669277011,0.4294048730930568,Australia,AU,New South Wales,admin,0.04753531811159154,-0.06768370060825112,-0.5446600669277011,0.4294048730930568,0.04753531811159154
Frankston,-1.0110023620727555,-0.003601445924401752,Australia,AU,Victoria,admin,0.04654925592475788,0.06083162099856379,-1.0110023620727555,-0.003601445924401752,0.04654925592475788
Sunbury,-0.9150802063808161,-0.04808304256234332,Australia,AU,Victoria,admin,0.04649818497484219,0.06077566992083812,-0.9150802063808161,-0.04808304256234332,0.04649818497484219
Warrnambool,-1.0484633807543184,-0.28370557749607084,Australia,AU,Victoria,admin,0.04308035986510001,0.03313153359529987,-1.0484633807543184,-0.28370557749607084,0.04308035986510001
Wodonga,-0.6723733756241456,0.1815818527361942,Australia,AU,Victoria,admin,0.04275036295795249,-0.012976458379710447,-0.6723733756241456,0.1815818527361942,0.04275036295795249
Albany,-0.48970726322483077,-2.8824512253872765,Australia,AU,Western Australia,admin,0.039116468444720866,0.03189200202722342,-0.48970726322483077,-2.8824512253872765,0.039116468444720866
Gladstone,1.3681963170943885,0.6436580729523251,Australia,AU,Queensland,admin,0.0360247117075173,0.049301395058019344,1.3681963170943885,0.6436580729523251,0.0360247117075173
Mildura,-0.3510532753040334,-0.31803594773433236,Australia,AU,Victoria,admin,0.03335330817346595,0.04637472330006107,-0.3510532753040334,-0.31803594773433236,0.03335330817346595
Southport,0.6835226254523941,0.8694462772116504,Australia,AU,Queensland,admin,0.03009262444807973,0.04280246218372964,0.6835226254523941,0.8694462772116504,0.03009262444807973
Dandenong,-0.9815722675026859,0.004849106749632726,Australia,AU,Victoria,admin,0.02222769816106382,0.034185996213976014,-0.9815722675026859,0.004849106749632726,0.02222769816106382
