city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z,cluster
Frankston,-1.0110023620727562,-0.0036014459243996,Australia,AU,Victoria,,0.0465492559247577,0.0608316209985636,0.14820221120073437,-1.0053464302670778,-1.0106738812402274,0
Sunbury,-0.9150802063808168,-0.0480830425623412,Australia,AU,Victoria,,0.046498184974842,0.060775669920838,0.14318873894029394,-0.9547208087491273,-0.8699867753879632,0
Warrnambool,-1.048463380754319,-0.2837055774960687,Australia,AU,Victoria,,0.0430803598650999,0.0331315335952997,0.13485479397949118,-1.3249474933271292,-0.7699904807132307,0
Wodonga,-0.6723733756241462,0.1815818527361963,Australia,AU,Victoria,,0.0427503629579523,-0.0129764583797104,0.0784267048078065,-0.4842171309011051,-0.8557251542210782,0
Albany,-0.4897072632248314,-2.8824512253872743,Australia,AU,Western Australia,,0.0391164684447207,0.0318920020272233,0.13799265894534612,-3.3826730388369546,2.378153563475112,3
Gladstone,1.3681963170943878,0.6436580729523272,Australia,AU,Queensland,,0.0360247117075172,0.0493013950580192,-0.02044715228226857,2.0098691494805196,0.736097034888148,1
Mildura,-0.3510532753040341,-0.3180359477343302,Australia,AU,Victoria,,0.0333533081734658,0.0463747233000609,0.09089660151377343,-0.6663364847879739,-0.034877364717887833,0
Southport,0.6835226254523934,0.8694462772116525,Australia,AU,Queensland,,0.0300926244480796,0.0428024621837295,0.005543946995236081,1.5558807962823653,-0.17705883437001962,1
Dandenong,-0.9815722675026868,0.0048491067496347,Australia,AU,Victoria,,0.0222276981610637,0.0341859962139759,0.10289296350805252,-0.9692067756642907,-0.9904455972800278,0
Kalgoorlie,0.220921444023874,-2.503824212827219,Australia,AU,Western Australia,,0.0220037716883564,0.0339406722577941,0.07172603018960488,-2.296257265992228,2.7151927949477237,3
Mount Gambier,-0.956365474639282,-0.4633326377734866,Australia,AU,South Australia,,0.0211787794204876,0.0152745319426984,0.09671575403594049,-1.4153311212931365,-0.4993941196856009,0
