city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z
Echuca,-0.6743520091008899,-0.0442697306681853,Australia,AU,Victoria,,-0.0365903220033728,-0.0340872303985124,-0.6743520091008899,-0.0442697306681853,-0.0365903220033728
Australind,-0.1997958909515349,-3.111292191800094,Australia,AU,Western Australia,,-0.0381420931738879,-0.0319524815868252,-0.1997958909515349,-3.111292191800094,-0.0381420931738879
Broome,2.347037937060493,-2.4224559537671246,Australia,AU,Western Australia,,-0.0385113754271244,-0.0771308248857781,2.347037937060493,-2.4224559537671246,-0.0385113754271244
Port Hedland,1.9566153096029748,-2.8064279408935056,Australia,AU,Western Australia,,-0.0390024422532368,-0.0765368826760748,1.9566153096029748,-2.8064279408935056,-0.0390024422532368
Warragul,-1.0096721883068762,0.0807245065716078,Australia,AU,Victoria,,-0.0391752977760284,-0.0330844149285061,-1.0096721883068762,0.0807245065716078,-0.0391752977760284
Port Pirie,-0.1842661122348988,-0.7554999332873443,Australia,AU,South Australia,,-0.0395210088216115,-0.0936880399635215,-0.1842661122348988,-0.7554999332873443,-0.0395210088216115
Barwon Heads,-1.0262993603803623,-0.068913654903836,Australia,AU,Victoria,,-0.0396113651176162,-0.0335621510537022,-1.0262993603803623,-0.068913654903836,-0.0396113651176162
Emerald,1.4234317827225085,0.3148787579782244,Australia,AU,Queensland,,-0.0397920777096255,-0.03376013179027,1.4234317827225085,0.3148787579782244,-0.0397920777096255
Ulverstone,-1.5112640882477195,0.1053789939980984,Australia,AU,Tasmania,,-0.0398313630557145,-0.0338031710808282,-1.5112640882477195,0.1053789939980984,-0.0398313630557145
Morwell,-1.02352262264409,0.1300229182337491,Australia,AU,Victoria,,-0.0401574314282532,-0.0352578991016957,-1.02352262264409,0.1300229182337491,-0.0401574314282532
Gisborne,-0.8999328526218712,-0.0612870311155201,Australia,AU,Victoria,,-0.0404049291086138,-0.0557962485560735,-0.8999328526218712,-0.0612870311155201,-0.0404049291086138
Port Augusta,-0.0689899282494223,-0.7820241054929638,Australia,AU,South Australia,,-0.0410492087844732,-0.0662849236651092,-0.0689899282494223,-0.7820241054929638,-0.0410492087844732
Forster,-0.0171297785522201,0.7756134529573531,Australia,AU,New South Wales,,-0.0412809923263983,-0.0353913209024261,-0.0171297785522201,0.7756134529573531,-0.0412809923263983
Penrith,-0.2782595159663136,0.5836274593941628,Australia,AU,New South Wales,,-0.0430291902273584,-0.0373065693322665,-0.2782595159663136,0.5836274593941628,-0.0430291902273584
Torquay,-1.040149794717576,-0.0900400365889177,Australia,AU,Victoria,,-0.0431745460078876,-0.0374658147073319,-1.040149794717576,-0.0900400365889177,-0.0431745460078876
Jimboomba,0.7057032729984237,0.83071105639205,Australia,AU,Queensland,,-0.0433984724805949,-0.0377111386635137,0.7057032729984237,0.83071105639205,-0.0433984724805949
Lithgow,-0.2337319491535187,0.5261425748290534,Australia,AU,New South Wales,,-0.0442941783714239,-0.0721425711100816,-0.2337319491535187,0.5261425748290534,-0.0442941783714239
Bowral,-0.3993219558333628,0.5544624894779074,Australia,AU,New South Wales,,-0.0443884632020374,-0.0500461993374966,-0.3993219558333628,0.5544624894779074,-0.0443884632020374
Goonellabah,0.5424743247530145,0.8607633343390813,Australia,AU,New South Wales,,-0.0445809613978735,-0.0390066213093158,0.5424743247530145,0.8607633343390813,-0.0445809613978735
Raymond Terrace,-0.1137170211270985,0.6945304000500063,Australia,AU,New South Wales,,-0.0448952441665854,-0.0393509356337815,-0.1137170211270985,0.6945304000500063,-0.0448952441665854
Leopold,-1.0161900397596828,-0.0744382037144824,Australia,AU,Victoria,,-0.0449188153742388,-0.0393767592081164,-1.0161900397596828,-0.0744382037144824,-0.0449188153742388
Dalby,0.8137798914760812,0.6441017269677116,Australia,AU,Queensland,,-0.0452920261620842,-0.0397856324684194,0.8137798914760812,0.6441017269677116,-0.0452920261620842
Campbelltown,-0.331832264387085,0.5975603081154751,Australia,AU,New South Wales,,-0.0458930919572458,-0.04044413361396,-0.331832264387085,0.5975603081154751,-0.0458930919572458
Colac,-1.0413136967627197,-0.167362593556321,Australia,AU,Victoria,,-0.0459677341148149,-0.0555853560323382,-1.0413136967627197,-0.167362593556321,-0.0459677341148149
Muswellbrook,-0.0312296204705362,0.6041517392012207,Australia,AU,New South Wales,,-0.0466866559482434,-0.0425573627803681,-0.0312296204705362,0.6041517392012207,-0.0466866559482434
Esperance,-0.2965494052471478,-2.458814456647151,Australia,AU,Western Australia,,-0.0475470050275923,-0.0852996822337264,-0.2965494052471478,-2.458814456647151,-0.0475470050275923
Drouin,-1.006895450570604,0.0719253685997699,Australia,AU,Victoria,,-0.0485605669566882,-0.0433665014428624,-1.006895450570604,0.0719253685997699,-0.0485605669566882
Rutherford,-0.1059853861129286,0.672094182700448,Australia,AU,New South Wales,,-0.0485723525605149,-0.0433794132300299,-0.1059853861129286,0.672094182700448,-0.0485723525605149
Nelson Bay,-0.1059853861129286,0.7375225867791511,Australia,AU,New South Wales,,-0.0488237787754845,-0.0436548646896024,-0.1059853861129286,0.7375225867791511,-0.0488237787754845
Inverell,0.3817394523186282,0.6283731358031677,Australia,AU,New South Wales,,-0.0494523443129083,-0.0443434933385338,0.3817394523186282,0.6283731358031677,-0.0494523443129083
Parkes,-0.1691686399921735,0.3267940372486104,Australia,AU,New South Wales,,-0.0504423350343509,-0.0454280834606007,-0.1691686399921735,0.3267940372486104,-0.0504423350343509
Somerville,-1.0223088390827255,0.0008350942294658,Australia,AU,Victoria,,-0.0507251895261916,-0.0457379663526198,-1.0223088390827255,0.0008350942294658,-0.0507251895261916
Gracemere,1.437298844231795,0.5578321473566759,Australia,AU,Queensland,,-0.0508076887529785,-0.0458283488627921,1.437298844231795,0.5578321473566759,-0.0508076887529785
Batemans Bay,-0.6036532734444292,0.5287199933946319,Australia,AU,New South Wales,,-0.0508901879797654,-0.0879422946740005,-0.6036532734444292,0.5287199933946319,-0.0508901879797654
Nambour,0.9062934768929556,0.8228837319777281,Australia,AU,Queensland,,-0.0513105411829176,-0.0463792517819371,0.9062934768929556,0.8228837319777281,-0.0513105411829176
Swan Hill,-0.5413346325130046,-0.1710280207786815,Australia,AU,Victoria,,-0.0516405380900651,-0.0520733499227883,-0.5413346325130046,-0.1710280207786815,-0.0516405380900651
Mareeba,2.509751442971624,0.0261550626790375,Australia,AU,Queensland,,-0.0517348229206787,-0.0468440761199658,2.509751442971624,0.0261550626790375,-0.0517348229206787
Corinda,0.763898375255624,0.8377567046840249,Australia,AU,Queensland,,-0.0519705349972126,-0.0471023118633151,0.763898375255624,0.8377567046840249,-0.0519705349972126
Samford,0.7832856578933081,0.8148662701282372,Australia,AU,Queensland,,-0.0523162460427957,-0.0911013786009731,0.7832856578933081,0.8148662701282372,-0.0523162460427957
Mudgee,-0.0889425347376047,0.466692936767229,Australia,AU,New South Wales,,-0.0523476743196669,-0.0475154890526739,-0.0889425347376047,0.466692936767229,-0.0523476743196669
Casino,0.5369374764525443,0.8325913043620217,Australia,AU,New South Wales,,-0.052383031131147,-0.0475542244141763,0.5369374764525443,0.8325913043620217,-0.052383031131147
Portland,-1.040149794717576,-0.3770102422082415,Australia,AU,Victoria,,-0.0524380306156716,-0.0527275471392731,-1.040149794717576,-0.3770102422082415,-0.0524380306156716
Kingston,-1.8122491571219583,0.2259683806565527,Australia,AU,Tasmania,,-0.054366941108641,-0.0497277085873659,-1.8122491571219583,0.2259683806565527,-0.054366941108641
Kingaroy,0.921856509953738,0.7039527662815538,Australia,AU,Queensland,,-0.0544101549893389,-0.0514019369900802,0.921856509953738,0.7039527662815538,-0.0544101549893389
Kangaroo Flat,-0.7852053653148189,-0.0970856848808925,Australia,AU,Victoria,,-0.0544258691277745,-0.0497922675232032,-0.7852053653148189,-0.0970856848808925,-0.0544258691277745
Bowen,2.005382805294508,0.3236778959500623,Australia,AU,Queensland,,-0.0544926542161258,-0.0498654343171521,2.005382805294508,0.3236778959500623,-0.0544926542161258
Young,-0.3695260634776761,0.3307235442420372,Australia,AU,New South Wales,,-0.0548147940540555,-0.0502183564997295,-0.3695260634776761,0.3307235442420372,-0.0548147940540555
Cowra,-0.289432975599696,0.3685186410766502,Australia,AU,New South Wales,,-0.0557262140833201,-0.0512168680406799,-0.289432975599696,0.3685186410766502,-0.0557262140833201
Hamilton,-0.9403867622766616,-0.3329934259673722,Australia,AU,Victoria,,-0.0560758536635121,-0.051599917726648,-0.9403867622766616,-0.3329934259673722,-0.0560758536635121
Gunnedah,0.1847074632478227,0.5367057656715942,Australia,AU,New South Wales,,-0.0570501302465191,-0.0526672921324916,0.1847074632478227,0.5367057656715942,-0.0570501302465191
Mount Evelyn,-0.948700348313404,0.0226269569376287,Australia,AU,Victoria,,-0.0571444150771327,-0.0527705864298313,-0.948700348313404,0.0226269569376287,-0.0571444150771327
Andergrove,1.826407925095508,0.424313415106954,Australia,AU,Queensland,,-0.0582561903714511,-0.0539885983526287,1.826407925095508,0.424313415106954,-0.0582561903714511
Moree,0.4343977062753576,0.4928051445299907,Australia,AU,New South Wales,,-0.0586804721092122,-0.0544534226906573,0.4343977062753576,0.4928051445299907,-0.0586804721092122
Benalla,-0.7439533514005019,0.0858370909393965,Australia,AU,Victoria,,-0.0587315430591279,-0.054509373768383,-0.7439533514005019,0.0858370909393965,-0.0587315430591279
Currumbin,0.6517148452758157,0.8767348788930027,Australia,AU,Queensland,,-0.059426893684903,-0.0552711692112633,0.6517148452758157,0.8767348788930027,-0.059426893684903
Wollert,-0.9177239267405009,-0.0143759005837944,Australia,AU,Victoria,,-0.0596665342960459,-0.0555337088836684,-0.9177239267405009,-0.0143759005837944,-0.0596665342960459
Mittagong,-0.3944668215879056,0.5578321473566759,Australia,AU,New South Wales,,-0.0599061749071887,-0.0697065472644869,-0.3944668215879056,0.5578321473566759,-0.0599061749071887
Kelso,-0.2229741688219731,0.4686365638822581,Australia,AU,New South Wales,,-0.0600279594800646,-0.0559296703568039,-0.2229741688219731,0.4686365638822581,-0.0600279594800646
Yanchep,0.0877211685431803,-3.119848376382553,Australia,AU,Western Australia,,-0.0604208129409545,-0.056360063262386,0.0877211685431803,-3.119848376382553,-0.0604208129409545
Bentley,0.0127326224917603,-3.089215122939182,Australia,AU,Western Australia,,-0.0607586669173198,-0.0567302011611866,0.0127326224917603,-3.089215122939182,-0.0607586669173198
Moe,-1.0133634205071895,0.116058379939908,Australia,AU,Victoria,,-0.0607743810557554,-0.0567474168774099,-1.0133634205071895,0.116058379939908,-0.0607743810557554
Ayr,2.078924787375535,0.2363519972547704,Australia,AU,Queensland,,-0.0609315224401114,-0.0569195740396428,2.078924787375535,0.2363519972547704,-0.0609315224401114
Moranbah,1.6753500668078902,0.304664152433487,Australia,AU,Queensland,,-0.0609433080439381,-0.0569324858268102,1.6753500668078902,0.304664152433487,-0.0609433080439381
Leeton,-0.4108113317361412,0.1301391133330179,Australia,AU,New South Wales,,-0.0613833039201347,-0.0574145258810622,-0.4108113317361412,0.1301391133330179,-0.0613833039201347
Moss Vale,-0.4108113317361412,0.5491492044841068,Australia,AU,New South Wales,,-0.0615561594429263,-0.0576038987595183,-0.4108113317361412,0.5491492044841068,-0.0615561594429263
Wallan,-0.8877451354920055,-0.0196258064325346,Australia,AU,Victoria,,-0.0617879429848514,-0.0579266934387049,-0.8877451354920055,-0.0196258064325346,-0.0617879429848514
Springwood,-0.2692143343583372,0.570328402123403,Australia,AU,New South Wales,,-0.0619647270422518,-0.0580515073813237,-0.2692143343583372,0.570328402123403,-0.0619647270422518
